Chromatogram,RT [min],Area
EIC 754.2654 -All MS,2,363395
EIC 181.0706 -All MS,4.2,721316
EIC 179.0553 -All MS,4.3,319827
EIC 214.0470 -All MS,5.9,206689
EIC 683.2230 -All MS,6.1,2621787
EIC 487.1758 -All MS,6.6,1275665
EIC 633.2222 -All MS,7.5,107471
EIC 487.1758 -All MS,7.9,1530782
EIC 544.0000 -All MS,8.2,14469
EIC 975.3405 -All MS,8.7,1117018
EIC 633.2222 -All MS,9.2,23722
EIC 503.1582 -All MS,9.7,195640
EIC 633.2222 -All MS,9.9,22212
EIC 503.1582 -All MS,10.2,176895
EIC 633.2222 -All MS,10.9,294961
EIC 706.2390 -All MS,12.2,3697278
EIC 852.2964 -All MS,15.8,963342
EIC 909.3186 -All MS,16.5,3076137
EIC 852.2964 -All MS,18.5,4057064
EIC 998.3554 -All MS,23.4,350919
EIC 1071.0000 -All MS,25,175370
EIC 998.3554 -All MS,25.9,3820093
EIC 608.2067 -All MS,26.9,41414
EIC 608.2067 -All MS,31.8,223500
EIC 608.2067 -All MS,34.8,1039500
EIC 608.2067 -All MS,37.4,638016
EIC 681.2386 -All MS,46.3,1618265
EIC 790.7720 -All MS,46.1,109315
EIC 681.2386 -All MS,51.5,9369669
EIC 790.7720 -All MS,52.4,277274
EIC 790.7720 -All MS,56.6,201898
EIC 754.2654 -All MS,57.5,151052
EIC 754.2654 -All MS,63.6,698672
EIC 790.7720 -All MS,64.2,330434
EIC 790.7720 -All MS,68.8,385581
EIC 790.7720 -All MS,73.6,840313
EIC 754.2654 -All MS,73.7,3492077
EIC 790.7720 -All MS,77.2,236792
EIC 754.2654 -All MS,80.4,1682840
