Chromatogram,RT [min],Area
EIC 181.0706 -All MS,4.2,752041
EIC 179.0553 -All MS,4.3,463284
EIC 683.2230 -All MS,5.2,242451
EIC 214.0470 -All MS,5.9,261392
EIC 683.2230 -All MS,6.1,2639866
EIC 487.1758 -All MS,6.6,1768616
EIC 633.2222 -All MS,7,33861
EIC 633.2222 -All MS,7.5,42460
EIC 487.1758 -All MS,7.9,1700230
EIC 544.0000 -All MS,8.2,23817
EIC 975.3405 -All MS,8.7,1080738
EIC 633.2222 -All MS,9.2,87601
EIC 503.1582 -All MS,9.7,259127
EIC 633.2222 -All MS,9.9,56604
EIC 503.1582 -All MS,10.2,143868
EIC 633.2222 -All MS,10.9,356694
EIC 706.2390 -All MS,12.2,3948321
EIC 852.2964 -All MS,15.8,1699860
EIC 909.3186 -All MS,16.4,2982022
EIC 852.2964 -All MS,18.5,3086865
EIC 998.3554 -All MS,23.3,170497
EIC 706.2390 -All MS,24.7,39830
EIC 1071.0000 -All MS,25,185911
EIC 998.3554 -All MS,26,4512713
EIC 706.2390 -All MS,26.7,30487
EIC 608.2067 -All MS,31.7,422008
EIC 706.2390 -All MS,31.8,115057
EIC 608.2067 -All MS,33.4,402300
EIC 608.2067 -All MS,34.7,918514
EIC 706.2390 -All MS,37.3,48502
EIC 608.2067 -All MS,37.5,424330
EIC 681.2386 -All MS,46.1,2545947
EIC 790.7720 -All MS,46.4,117139
EIC 681.2386 -All MS,51.7,5383263
EIC 790.7720 -All MS,51.8,193883
EIC 681.2386 -All MS,56.2,603470
EIC 790.7720 -All MS,56.8,83152
EIC 754.2654 -All MS,58.3,336824
EIC 790.7720 -All MS,62.4,454254
EIC 754.2654 -All MS,64.2,434643
EIC 790.7720 -All MS,69.3,396793
EIC 754.2654 -All MS,73.8,4990860
EIC 790.7720 -All MS,74.1,368338
EIC 790.7720 -All MS,76.8,97257
EIC 754.2654 -All MS,81.3,853233
