Chromatogram,RT [min],Area
EIC 181.0706 -All MS,4.2,782370
EIC 179.0553 -All MS,4.3,520606
EIC 214.0470 -All MS,5.9,375646
EIC 487.1758 -All MS,6.1,202903
EIC 683.2230 -All MS,6.5,3721585
EIC 487.1758 -All MS,6.6,331068
EIC 487.1758 -All MS,7.9,1881316
EIC 544.0000 -All MS,8.2,17298
EIC 975.3405 -All MS,8.7,1283323
EIC 633.2222 -All MS,9.2,32957
EIC 503.1582 -All MS,9.7,362650
EIC 633.2222 -All MS,9.9,23627
EIC 503.1582 -All MS,10.2,129331
EIC 633.2222 -All MS,10.9,337487
EIC 706.2390 -All MS,12.3,3585012
EIC 852.2964 -All MS,16.1,1235062
EIC 909.3186 -All MS,16.5,3717463
EIC 852.2964 -All MS,18.5,3079337
EIC 998.3554 -All MS,23.3,119410
EIC 1071.0000 -All MS,25.3,64396
EIC 998.3554 -All MS,26.1,3644123
EIC 608.2067 -All MS,32,159476
EIC 608.2067 -All MS,34.9,727562
EIC 608.2067 -All MS,37.5,268405
EIC 681.2386 -All MS,44,97464
EIC 681.2386 -All MS,46.7,893958
EIC 681.2386 -All MS,52.1,3262122
EIC 681.2386 -All MS,56.9,662535
EIC 754.2654 -All MS,58.7,117098
EIC 790.7720 -All MS,64.4,113077
EIC 754.2654 -All MS,64.7,233735
EIC 790.7720 -All MS,70,300499
EIC 754.2654 -All MS,74.5,2349294
EIC 790.7720 -All MS,75.2,237407
EIC 754.2654 -All MS,81.7,867933
