Chromatogram,RT [min],Area
EIC 181.0706 -All MS,4.2,843731
EIC 179.0553 -All MS,4.3,359647
EIC 214.0470 -All MS,5.9,380804
EIC 487.1758 -All MS,6,773840
EIC 683.2230 -All MS,6.6,3654312
EIC 487.1758 -All MS,7.7,1958361
EIC 544.0000 -All MS,8.2,41050
EIC 975.3405 -All MS,8.7,551991
EIC 633.2222 -All MS,9.3,35575
EIC 503.1582 -All MS,9.7,241151
EIC 633.2222 -All MS,10,20031
EIC 503.1582 -All MS,10.2,92675
EIC 633.2222 -All MS,10.9,179717
EIC 706.2390 -All MS,12.3,5306953
EIC 852.2964 -All MS,16.1,2671483
EIC 909.3186 -All MS,16.6,2764986
EIC 852.2964 -All MS,18.6,2796037
EIC 998.3554 -All MS,23.5,116966
EIC 1071.0000 -All MS,25.3,167514
EIC 998.3554 -All MS,26.2,3055642
EIC 608.2083 -All MS,30.7,92480
EIC 608.2083 -All MS,31.9,292171
EIC 1217.4295 -All MS,35.3,294887
EIC 608.2083 -All MS,35.3,1321596
EIC 1217.4295 -All MS,37.3,196092
EIC 608.2083 -All MS,37.5,493090
EIC 681.2386 -All MS,47,1943886
EIC 681.2386 -All MS,52.4,3455333
EIC 681.2386 -All MS,57.6,678489
EIC 754.2654 -All MS,59,191293
EIC 790.7720 -All MS,64.3,344794
EIC 754.2654 -All MS,65.2,233850
EIC 790.7720 -All MS,70.2,844449
EIC 790.7720 -All MS,74.5,361155
EIC 754.2654 -All MS,75.1,1658285
EIC 790.7720 -All MS,78.9,136762
EIC 754.2654 -All MS,82.2,861502
